date,day_week,special_event,6_week_lun,6_week_din,lun_ly,din_ly,din_2y,pred_lunch,pred_din,lunch_sales,dinner_sales,guest_count_lunch,guest_count_dinner,ppl_res_lun,ppl_res_din,temp_avg
1/1/2018,Monday,,,,130,127,,,,,,,122,,,
1/2/2018,Tuesday,,,,62,144,,,,,,,142,,,
1/3/2018,Wednesday,,,,47,138,,,,,,,173,,,
1/4/2018,Thursday,,,,55,205,,,,,,,289,,,
1/5/2018,Friday,,,,101,328,,,,,,,287,,,
1/6/2018,Saturday,,,,,,,,,,,,234,,,
1/7/2018,Sunday,,,,,121,,,,,,,144,,,
1/8/2018,Monday,,,,58,184,,,,,,,131,,,
1/9/2018,Tuesday,,,,67,211,,,,,,,143,,,
1/10/2018,Wednesday,,,,52,167,,,,,,,197,,,
1/11/2018,Thursday,,,,81,212,,,,,,,374,,,
1/12/2018,Friday,,,,91,362,,,,,,,358,,,
1/13/2018,Saturday,,,,170,420,,,,,,,281,,,
1/14/2018,Sunday,,,,105,320,,,,,,,209,,,
1/15/2018,Monday,,,,97,253,,,,,,,171,,,
1/16/2018,Tuesday,,,,63,138,,,,,,,154,,,
1/17/2018,Wednesday,,,,54,159,,,,,,,186,,,
1/18/2018,Thursday,,,,64,165,,,,,,,347,,,
1/19/2018,Friday,,,,79,400,,,,,,,331,,,
1/20/2018,Saturday,,,,123,447,,,,,,,184,,,
1/21/2018,Sunday,,,,142,277,,,,,,,151,,,
1/22/2018,Monday,,,,65,129,,,,,,,120,,,
1/23/2018,Tuesday,,,,73,163,,,,,,,146,,,
1/24/2018,Wednesday,,,,67,180,,,,,,,187,,,
1/25/2018,Thursday,,,,96,209,,,,,,,342,,,
1/26/2018,Friday,,,,83,390,,,,,,,464,,,
1/27/2018,Saturday,,,,160,423,,,,,,,260,,,
1/28/2018,Sunday,,,,191,272,,,,,,,166,,,
1/29/2018,Monday,,,,67,194,,,,,,,150,,,
1/30/2018,Tuesday,,,,60,185,,,,,,,168,,,
1/31/2018,Wednesday,,,,59,185,,,,,,,209,,,
2/1/2018,Thursday,,,,70,155,,,,,,,362,,,
2/2/2018,Friday,,,,67,344,,,,,,,395,,,
2/3/2018,Saturday,,,,167,394,,,,,,,217,,,
2/4/2018,Sunday,,,,96,131,,,,,,,136,,,
2/5/2018,Monday,,,,58,207,,,,,,,97,,,
2/6/2018,Tuesday,,,,32,165,,,,,,,202,,,
