Category: All categories

Week,old spaghetti factory corvallis: (Eugene OR),spaghetti factory: (Eugene OR),old spaghetti factory: (Eugene OR)
2018-03-04,0,35,0
2018-03-11,0,35,35
2018-03-18,0,0,0
2018-03-25,0,0,0
2018-04-01,0,36,0
2018-04-08,36,54,36
2018-04-15,0,54,36
2018-04-22,36,72,36
2018-04-29,0,71,0
2018-05-06,36,36,36
2018-05-13,0,37,0
2018-05-20,0,0,0
2018-05-27,0,0,39
2018-06-03,0,35,35
2018-06-10,0,71,36
2018-06-17,0,41,41
2018-06-24,0,0,41
2018-07-01,42,42,0
2018-07-08,0,0,60
2018-07-15,40,40,41
2018-07-22,0,0,0
2018-07-29,0,59,59
2018-08-05,40,100,40
2018-08-12,41,41,41
2018-08-19,41,62,42
2018-08-26,0,64,43
2018-09-02,42,62,42
2018-09-09,0,0,41
2018-09-16,0,39,40
2018-09-23,0,0,38
2018-09-30,38,38,0
2018-10-07,0,57,38
2018-10-14,38,38,39
2018-10-21,38,76,0
2018-10-28,0,38,38
2018-11-04,0,36,0
2018-11-11,0,38,38
2018-11-18,38,38,39
2018-11-25,36,36,36
2018-12-02,38,38,0
2018-12-09,0,0,41
2018-12-16,42,62,42
2018-12-23,0,0,0
2018-12-30,0,42,43
2019-01-06,0,56,37
2019-01-13,0,36,55
2019-01-20,0,36,36
2019-01-27,0,36,36
2019-02-03,0,0,34
2019-02-10,0,71,53
2019-02-17,0,60,72
2019-02-24,36,71,36
